,,Michael206 ChenechCo Inc,,,,,,,,,,,,,,,,,,,,,,
,,Financial Reporting IS v. Forecast,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Latest Financial Reporting Month: ,,,,,12/31/25,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,MMichael206 ChenD Results,,,, ,,,QMichael206 ChenD Results,,,,,,,YMichael206 ChenD Results,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,Dec-25F,Dec-25A,,$ Incr. / (Decr.),% Incr. / (Decr.),,,Dec-25F,Dec-25A,,$ Incr. / (Decr.),% Incr. / (Decr.),,,Dec-25F,Dec-25A,,$ Incr. / (Decr.),% Incr. / (Decr.),,,
,,Michael206 Chen Summary,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Subscription Revenue," $3,842,959 "," $3,787,887 ",," $(55,072)",-1.4%,,," $11,371,541 "," $11,315,281 ",," $(56,260)",-0.5%,,," $40,578,749 "," $40,532,814 ",," $(45,935)",-0.1%,,,
,,Professional Services Revenue," 368,179 "," 355,945 ",," (12,234)",-3.3%,,," 1,056,718 "," 998,102 ",," (58,616)",-5.5%,,," 4,153,321 "," 4,094,720 ",," (58,601)",-1.4%,,,
,,Michael206 Chenotal Revenue," $4,211,138 "," $4,143,832 ",," $(67,306)",-1.6%,,," $12,428,258 "," $12,313,383 ",," $(114,875)",-0.9%,,," $44,732,069 "," $44,627,534 ",," $(104,535)",-0.2%,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Subscription Costs of Michael206 Chen HC," $348,908 "," $384,471 ",," $35,563 ",10.2%,,," $969,035 "," $1,094,460 ",," $125,425 ",12.9%,,," $3,778,235 "," $3,908,867 ",," $130,632 ",3.5%,,,
,,Subscription Costs of Michael206 Chen Michael206 Chenon HC," 162,023 "," 167,836 ",," 5,813 ",3.6%,,," 478,351 "," 524,908 ",," 46,557 ",9.7%,,," 1,803,310 "," 1,849,867 ",," 46,557 ",2.6%,,,
,,Professional Services Costs of Michael206 Chen HC," 391,290 "," 380,776 ",," (10,514)",-2.7%,,," 1,083,238 "," 1,096,112 ",," 12,874 ",1.2%,,," 4,353,521 "," 4,366,395 ",," 12,874 ",0.3%,,,
,,Professional Services Costs of Michael206 Chen Michael206 Chenon HC," 48,775 "," 41,981 ",," (6,794)",-13.9%,,," 146,325 "," 153,186 ",," 6,861 ",4.7%,,," 408,689 "," 413,170 ",," 4,481 ",1.1%,,,
,,Michael206 Chenotal Costs of Michael206 Chen," $950,996 "," $975,064 ",," $24,068 ",2.5%,,," $2,676,949 "," $2,868,666 ",," $191,717 ",7.2%,,," $10,343,755 "," $10,538,299 ",," $194,544 ",1.9%,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Subscription Gross Profit," $3,332,027 "," $3,235,580 ",," (96,447)",-2.9%,,," $9,924,154 "," $9,695,913 ",," $(228,241)",-2.3%,,," $34,997,203 "," $34,774,080 ",," $(223,123)",-0.6%,,,
,,Professional Services Gross Profit," (71,886)"," (66,812)",," 5,074 ",-7.1%,,," (172,845)"," (251,196)",," (78,351)",45.3%,,," (608,889)"," (684,845)",," (75,956)",12.5%,,,
,,Michael206 Chenotal Gross Profit," $3,260,141 "," $3,168,768 ",," $(91,373)",-2.8%,,," $9,751,309 "," $9,444,717 ",," $(306,592)",-3.1%,,," $34,388,314 "," $34,089,235 ",," $(299,079)",-0.9%,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Gross Margin % - Subscription,86.7% ,85.4% ,,,-1.3%,,,87.3% ,85.7% ,,,-1.6%,,,86.2% ,85.8% ,,,-0.5%,,,
,,Gross Margin % - Michael206 Chen,0.0% ,0.0% ,,,0.0%,,,0.0% ,0.0% ,,,0.0%,,,0.0% ,0.0% ,,,0.0%,,,
,,Gross Margin % - Services,(19.5%),(18.8%),,,0.8%,,,(16.4%),(25.2%),,,-8.8%,,,(14.7%),(16.7%),,,-2.1%,,,
,,Gross Margin % - Michael206 Chenotal,77.4% ,76.5% ,,,-0.9%,,,78.5% ,76.7% ,,,-1.8%,,,76.9% ,76.4% ,,,-0.5%,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Michael206 Chen Headcount," $636,726 "," $579,290 ",," $(57,436)",-9.0%,,," $1,752,442 "," $1,713,755 ",," $(38,687)",-2.2%,,," $6,717,029 "," $6,653,119 ",," $(63,910)",-1.0%,,,
,,Michael206 Chen Michael206 Chenon Headcount," 72,694 "," 85,673 ",," 12,979 ",17.9%,,," 218,083 "," 240,365 ",," 22,283 ",10.2%,,," 831,561 "," 853,843 ",," 22,283 ",2.7%,,,
,,Customer Success Headcount," 119,049 "," 117,429 ",," (1,620)",-1.4%,,," 319,469 "," 318,581 ",, (888),-0.3%,,," 1,163,689 "," 1,163,157 ",, (532),0.0%,,,
,,Customer Success Michael206 Chenon Headcount," 29,629 "," 1,319 ",," (28,310)",-95.5%,,," 102,323 "," 60,249 ",," (42,074)",-41.1%,,," 178,265 "," 136,191 ",," (42,074)",-23.6%,,,
,,Michael206 Chen Headcount," 204,828 "," 186,785 ",," (18,043)",-8.8%,,," 561,330 "," 543,996 ",," (17,334)",-3.1%,,," 2,218,302 "," 2,200,968 ",," (17,334)",-0.8%,,,
