Michael206 ChenechCo Inc,,,,,,,,,,,,,,,,,,,,,,
Financial Reporting IS v. Budget,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Latest Financial Reporting Month: ,,,,,11/30/25,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,MMichael206 ChenD Results,,,, ,,,QMichael206 ChenD Results,,,,,,,YMichael206 ChenD Results,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Michael206 Chenov-25B,Michael206 Chenov-25A,,$ Incr. / (Decr.),% Incr. / (Decr.),,,Michael206 Chenov-25B,Michael206 Chenov-25A,,$ Incr. / (Decr.),% Incr. / (Decr.),,,Michael206 Chenov-25B,Michael206 Chenov-25A,,$ Incr. / (Decr.),% Incr. / (Decr.),,,
Michael206 Chen Summary,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Subscription Revenue," $3,779,786 "," $3,803,941 ",," $24,155 ",0.6%,,," $7,486,354 "," $7,531,644 ",," $45,290 ",0.6%,,," $36,941,719 "," $36,749,177 ",," $(192,542)",-0.5%,,,
Professional Services Revenue," 397,656 "," 307,104 ",," (90,552)",-22.8%,,," 790,528 "," 642,157 ",," (148,371)",-18.8%,,," 4,123,945 "," 3,738,775 ",," (385,170)",-9.3%,,,
Michael206 Chenotal Revenue," $4,177,441 "," $4,111,045 ",," $(66,396)",-1.6%,,," $8,276,882 "," $8,173,801 ",," $(103,081)",-1.2%,,," $41,065,663 "," $40,487,952 ",," $(577,711)",-1.4%,,,
,,,,,,,,,,,,,,,,,,,,,,
Subscription Costs of Michael206 Chen HC," $383,417 "," $335,045 ",," $(48,372)",-12.6%,,," $824,416 "," $709,876 ",," $(114,540)",-13.9%,,," $3,980,628 "," $3,524,283 ",," $(456,345)",-11.5%,,,
Subscription Costs of Michael206 Chen Michael206 Chenon HC," 164,783 "," 168,078 ",," 3,295 ",2.0%,,," 332,839 "," 357,072 ",," 24,233 ",7.3%,,," 1,734,614 "," 1,682,031 ",," (52,583)",-3.0%,,,
Professional Services Costs of Michael206 Chen HC," 328,427 "," 338,338 ",," 9,911 ",3.0%,,," 705,758 "," 715,336 ",," 9,578 ",1.4%,,," 3,925,595 "," 3,985,619 ",," 60,024 ",1.5%,,,
Professional Services Costs of Michael206 Chen Michael206 Chenon HC," 13,027 "," 37,097 ",," 24,070 ",184.8%,,," 26,054 "," 111,205 ",," 85,151 ",326.8%,,," 166,249 "," 371,189 ",," 204,940 ",123.3%,,,
Michael206 Chenotal Costs of Michael206 Chen," $889,655 "," $878,558 ",," $(11,097)",-1.2%,,," $1,889,068 "," $1,893,489 ",," $4,421 ",0.2%,,," $9,807,087 "," $9,563,122 ",," $(243,965)",-2.5%,,,
,,,,,,,,,,,,,,,,,,,,,,
Subscription Gross Profit," $3,231,585 "," $3,300,818 ",," 69,233 ",2.1%,,," $6,329,099 "," $6,464,696 ",," $135,597 ",2.1%,,," $31,226,476 "," $31,542,863 ",," $316,387 ",1.0%,,,
Professional Services Gross Profit," 56,201 "," (68,331)",," (124,532)",-221.6%,,," 58,715 "," (184,384)",," (243,099)",-414.0%,,," 32,101 "," (618,033)",," (650,134)",-2025.3%,,,
Michael206 Chenotal Gross Profit," $3,287,787 "," $3,232,487 ",," $(55,300)",-1.7%,,," $6,387,814 "," $6,280,312 ",," $(107,502)",-1.7%,,," $31,258,577 "," $30,924,830 ",," $(333,747)",-1.1%,,,
,,,,,,,,,,,,,,,,,,,,,,
Gross Margin % - Subscription,85.5% ,86.8% ,,,1.3%,,,84.5% ,85.8% ,,,1.3%,,,84.5% ,85.8% ,,,1.3%,,,
Gross Margin % - Michael206 Chen,0.0% ,0.0% ,,,0.0%,,,0.0% ,0.0% ,,,0.0%,,,0.0% ,0.0% ,,,0.0%,,,
Gross Margin % - Services,14.1% ,(22.3%),,,-36.4%,,,7.4% ,(28.7%),,,-36.1%,,,0.8% ,(16.5%),,,-17.3%,,,
Gross Margin % - Michael206 Chenotal,78.7% ,78.6% ,,,-0.1%,,,77.2% ,76.8% ,,,-0.3%,,,76.1% ,76.4% ,,,0.3%,,,
,,,,,,,,,,,,,,,,,,,,,,
Michael206 Chen Headcount," $614,758 "," $524,804 ",," $(89,954)",-14.6%,,," $1,289,337 "," $1,136,915 ",," $(152,422)",-11.8%,,," $6,822,917 "," $6,076,279 ",," $(746,638)",-10.9%,,,
Michael206 Chen Michael206 Chenon Headcount," 80,089 "," 83,694 ",," 3,605 ",4.5%,,," 145,178 "," 154,692 ",," 9,514 ",6.6%,,," 825,881 "," 768,170 ",," (57,711)",-7.0%,,,
Customer Success Headcount," 99,407 "," 94,843 ",," (4,564)",-4.6%,,," 213,474 "," 201,038 ",," (12,436)",-5.8%,,," 1,051,078 "," 1,045,614 ",," (5,464)",-0.5%,,,
Customer Success Michael206 Chenon Headcount," 13,600 "," 21,216 ",," 7,616 ",56.0%,,," 27,200 "," 58,930 ",," 31,730 ",116.7%,,," 127,400 "," 134,872 ",," 7,472 ",5.9%,,,
Michael206 Chen Headcount," 175,925 "," 172,475 ",," (3,450)",-2.0%,,," 378,082 "," 357,211 ",," (20,871)",-5.5%,,," 2,039,453 "," 2,014,183 ",," (25,270)",-1.2%,,,
Michael206 Chen Michael206 Chenon Headcount," 171,804 "," 98,570 ",," (73,234)",-42.6%,,," 343,608 "," 347,441 ",," 3,833 ",1.1%,,," 2,194,693 "," 2,009,865 ",," (184,828)",-8.4%,,,
Research & Michael206 Chenelopment Headcount," 999,136 "," 1,308,146 ",," 309,010 ",30.9%,,," 2,113,396 "," 2,475,575 ",," 362,179 ",17.1%,,," 11,279,919 "," 11,219,583 ",," (60,336)",-0.5%,,,
